annual_inc,application_type,bc_open_to_buy,bc_util,home_ownership,int_rate,loan_amnt,max_bal_bc,percent_bc_gt_75,term,title,total_bc_limit,total_rec_int,total_rev_hi_lim,verification_status,grade_int,emp_length_int
130000,Individual,12812,61.3,MORTGAGE,23.4,10000,6034,57.1, 36 months,Debt consolidation,33100,240.5,36500,Verified,3,5
80000,Joint App,0,100.6,MORTGAGE,24.37,3000,22355,100, 36 months,Business,48700,114.6,50200,Not Verified,3,5
13520,Individual,6500,0,OWN,26.31,2200,0,0, 36 months,Debt consolidation,6500,90.76,8300,Source Verified,3,1
704000,Individual,22239,96.4,MORTGAGE,27.27,25000,103286,100, 36 months,Home buying,166300,1069.07,166300,Verified,3,5
142500,Individual,1142,90.8,MORTGAGE,23.4,14225,4916,100, 36 months,Debt consolidation,12400,521.65,13200,Source Verified,3,2
33000,Joint App,1125,25,OWN,23.4,2500,375,0, 36 months,Debt consolidation,1500,91.67,3200,Not Verified,3,3
130000,Individual,11532,61,RENT,23.4,25000,5439,40, 36 months,Debt consolidation,29600,682.5,50400,Verified,3,2
85000,Individual,7,99.9,MORTGAGE,27.27,17000,4039,100, 60 months,Credit card refinancing,7200,412.08,24500,Source Verified,3,2
57000,Individual,6872,48.7,RENT,23.4,10300,4012,0, 36 months,Debt consolidation,13400,283.99,14800,Source Verified,3,2
60000,Joint App,3985,64.1,MORTGAGE,24.37,35000,3283,66.7, 36 months,Debt consolidation,11100,1336.91,24600,Not Verified,3,4
51000,Joint App,10153,33.6,RENT,27.27,32000,4957,10, 60 months,Debt consolidation,15300,1375.88,15300,Verified,3,3
120000,Individual,19252,54.9,MORTGAGE,26.31,30000,10740,40, 60 months,Credit card refinancing,42700,613.89,87600,Source Verified,3,5
57000,Individual,12373,66.1,RENT,27.27,25000,13460,40, 36 months,Debt consolidation,36500,1069.07,41000,Source Verified,3,5
175000,Individual,11525,50.3,OWN,23.4,5000,5113,50, 36 months,Debt consolidation,23200,183.36,28800,Source Verified,3,2
55000,Individual,0,102,RENT,24.37,5000,4078,100, 36 months,Credit card refinancing,4000,190.99,12400,Not Verified,3,5
58000,Joint App,120,99,MORTGAGE,26.31,20000,11580,100, 60 months,Credit card refinancing,11700,306.95,13700,Not Verified,3,3
72000,Individual,1707,89.1,RENT,26.31,5000,5089,80, 36 months,Moving and relocation,15700,206.26,24500,Not Verified,3,2
50000,Joint App,8619,60.6,MORTGAGE,25.34,20000,8384,66.7, 36 months,Debt consolidation,21900,794.49,29500,Not Verified,3,4
98000,Individual,2945,81.6,MORTGAGE,26.31,18000,13055,100, 36 months,Debt consolidation,16000,742.53,21000,Verified,3,4
115000,Individual,218,98.8,MORTGAGE,23.4,1000,5335,100, 36 months,Debt consolidation,18200,36.67,24800,Not Verified,3,2
45000,Individual,924,91,RENT,27.27,4500,5187,100, 36 months,Debt consolidation,10300,191.97,12500,Not Verified,3,1
45000,Individual,158,96.8,RENT,24.37,5000,4842,100, 36 months,Debt consolidation,5000,190.99,5300,Source Verified,3,3
60000,Individual,4135,65.5,RENT,27.27,12600,2853,40, 36 months,Debt consolidation,12000,538.82,20900,Verified,3,2
35000,Individual,2301,64.6,MORTGAGE,26.31,1200,3534,25, 36 months,Other,6500,49.5,11500,Not Verified,3,3
50000,Individual,928,78.4,MORTGAGE,26.31,7400,1867,75, 36 months,Debt consolidation,4300,305.26,5800,Source Verified,3,5
85000,Joint App,48,99.7,MORTGAGE,23.4,24825,7930,100, 36 months,Debt consolidation,14900,910.36,26000,Verified,3,5
72000,Joint App,2708,72.4,RENT,25.34,1500,6270,50, 36 months,Debt consolidation,9800,56.94,10200,Not Verified,3,4
63404,Individual,12691,57.6,MORTGAGE,27.27,22900,7502,25, 60 months,Debt consolidation,29900,984.62,49700,Source Verified,3,5
45000,Individual,456,96.7,MORTGAGE,23.4,1000,8791,100, 36 months,Debt consolidation,14000,36.67,14000,Not Verified,3,4
204060,Individual,18474,77.3,RENT,26.31,2825,20686,28.6, 36 months,Credit card refinancing,81400,116.54,94400,Not Verified,3,5
70000,Individual,3165,49,RENT,23.4,7000,2421,0, 36 months,Business,6200,256.7,6200,Not Verified,3,1
68000,Individual,662,86.8,OWN,26.31,6500,4338,100, 36 months,Debt consolidation,5000,268.13,5500,Not Verified,3,1
120500,Individual,11696,2.5,MORTGAGE,23.4,12325,304,0, 36 months,Other,12000,451.98,36800,Source Verified,3,2
71000,Individual,3795,81.3,OWN,27.27,21800,5939,66.7, 36 months,Debt consolidation,20300,462.38,21100,Source Verified,3,2
55000,Individual,6248,16.7,RENT,23.4,12000,1252,0, 60 months,Medical expenses,7500,442.51,13600,Source Verified,3,3
59500,Individual,13694,49.8,OWN,23.4,1000,5425,33.3, 36 months,Major purchase,27300,36.67,44000,Not Verified,3,5
20000,Individual,484,84.9,RENT,26.31,3000,1909,66.7, 36 months,Debt consolidation,3200,123.75,8100,Source Verified,3,3
55000,Individual,16310,35.3,RENT,25.34,12000,7622,33.3, 60 months,Debt consolidation,25200,479.32,31700,Source Verified,3,2
30000,Individual,371,94.3,RENT,24.37,10000,3406,100, 36 months,Debt consolidation,6500,189.54,18600,Source Verified,3,1
75000,Individual,101,97.8,RENT,27.27,1500,4399,100, 36 months,Other,4500,40.9,4500,Source Verified,3,2
70000,Individual,8029,46.5,RENT,23.4,12000,2094,25, 36 months,Debt consolidation,15000,440.06,24700,Not Verified,3,5
51000,Individual,845,95.4,MORTGAGE,27.27,12500,7076,100, 60 months,Debt consolidation,18200,537.45,31500,Not Verified,3,5
135000,Individual,3795,87.3,MORTGAGE,25.34,1000,11534,60, 36 months,Other,30000,39.73,37000,Not Verified,3,3
40000,Individual,4,100,RENT,24.37,20000,12496,100, 60 months,Debt consolidation,12500,768.19,14200,Not Verified,3,1
70000,Individual,2090,65.2,RENT,23.4,3300,2005,50, 36 months,Credit card refinancing,6000,121.01,6000,Not Verified,3,2
95000,Individual,5919,68.2,MORTGAGE,25.34,18000,4126,20, 60 months,Car financing,18600,718.98,22100,Source Verified,3,1
33000,Individual,171,96.4,RENT,27.27,15000,1966,100, 60 months,Debt consolidation,4700,644.15,8800,Not Verified,3,5
40000,Joint App,11773,62.7,MORTGAGE,25.34,40000,12474,60, 60 months,Debt consolidation,31600,872.82,45300,Verified,3,2
85000,Individual,1753,93.5,RENT,23.4,25000,9349,100, 36 months,Credit card refinancing,26800,916.78,40000,Verified,3,2
36000,Individual,4959,54.5,OWN,24.37,5000,4490,0, 36 months,Other,10900,190.99,18800,Source Verified,3,2
17000,Individual,3800,0,OWN,23.4,4100,0,0, 36 months,Home improvement,3800,150.35,5800,Verified,3,2
73000,Individual,0,146.3,MORTGAGE,23.4,10000,8045,100, 36 months,Debt consolidation,5500,366.71,5500,Source Verified,3,1
75000,Individual,8648,16,MORTGAGE,30.65,1000,1568,0, 36 months,Other,10300,48.09,10300,Not Verified,2,5
70000,Joint App,7693,49.4,MORTGAGE,23.4,15000,3447,20, 36 months,Debt consolidation,15200,550.07,15200,Not Verified,3,5
50000,Individual,211,98.8,RENT,24.37,20000,11123,100, 36 months,Debt consolidation,18300,392.62,29100,Not Verified,3,5
47000,Individual,1304,86,MORTGAGE,26.31,10000,5660,100, 60 months,Debt consolidation,9300,414.78,20400,Verified,3,5
25000,Individual,2760,96,OWN,24.37,8750,6362,80, 36 months,Credit card refinancing,13800,177.7,13800,Verified,3,
90000,Individual,36008,45.4,MORTGAGE,23.4,15000,11093,10, 36 months,Debt consolidation,66000,550.07,83000,Not Verified,3,5
60000,Individual,10752,28.3,OWN,24.37,8800,1748,16.7, 36 months,Credit card refinancing,15000,336.14,27700,Source Verified,3,2
55000,Individual,543,91.5,RENT,26.31,1200,3011,100, 36 months,Vacation,6400,49.5,7400,Not Verified,3,3
44000,Joint App,328,98.4,MORTGAGE,23.4,25000,12674,100, 36 months,Debt consolidation,20600,916.78,29400,Source Verified,3,4
25000,Individual,14327,17.7,RENT,23.4,5000,2999,25, 36 months,Major purchase,17400,183.36,17400,Source Verified,3,1
19110.59,Individual,,,OWN,23.4,1000,0,, 36 months,Other,0,0.88,3900,Verified,3,
31200,Individual,12056,3.6,OWN,27.27,1500,291,0, 36 months,Other,12500,64.14,18500,Verified,3,4
87341,Individual,24846,0.2,RENT,27.27,3000,54,0, 36 months,Debt consolidation,24900,128.29,41900,Source Verified,3,5
75000,Individual,0,102,MORTGAGE,23.4,1000,2040,100, 36 months,Debt consolidation,2000,36.67,23000,Not Verified,3,5
32000,Individual,390,96,MORTGAGE,23.4,13000,4879,100, 36 months,Debt consolidation,9800,451.87,19200,Source Verified,3,5
45000,Individual,551,94.5,MORTGAGE,23.4,8000,6149,100, 36 months,Debt consolidation,10000,293.37,12700,Not Verified,3,
96000,Individual,740,50.7,MORTGAGE,24.37,15000,760,0, 60 months,Debt consolidation,1500,576.15,19700,Verified,3,4
65000,Individual,1451,34,RENT,23.4,2000,727,0, 36 months,Debt consolidation,2200,33.96,8600,Not Verified,3,5
185000,Individual,5290,89.3,RENT,23.4,11000,7698,82.4, 60 months,Debt consolidation,49500,356.03,83500,Not Verified,3,1
140793,Individual,1563,87,MORTGAGE,27.27,29575,5822,100, 60 months,Debt consolidation,12000,1271.62,18500,Source Verified,3,4
21996,Individual,616,86.3,ANY,27.27,7475,2049,100, 36 months,Other,4500,319.65,11900,Source Verified,3,1
28000,Individual,11802,45.6,RENT,23.4,10000,4941,50, 36 months,Credit card refinancing,21700,366.71,21700,Verified,3,1
220000,Individual,5881,46,MORTGAGE,23.4,7000,1580,0, 36 months,Debt consolidation,10900,256.7,12300,Source Verified,3,2
43000,Joint App,867,91.7,MORTGAGE,25.34,28800,4530,100, 60 months,Debt consolidation,10400,1150.37,10400,Verified,3,4
72000,Individual,662,71.2,MORTGAGE,23.4,3000,1049,0, 36 months,Home improvement,2300,110.01,22400,Not Verified,3,5
44000,Individual,2645,82.4,RENT,24.37,1000,8916,83.3, 36 months,Medical expenses,15000,35.54,22500,Not Verified,3,5
40000,Individual,2574,69.7,RENT,24.37,13400,2966,50, 36 months,Debt consolidation,8500,511.85,13800,Source Verified,3,5
28000,Individual,261,73.9,RENT,26.31,2300,407,50, 36 months,Debt consolidation,1000,94.88,2100,Not Verified,3,1
97000,Individual,17310,0.5,OWN,23.4,5000,90,0, 36 months,Business,17400,163.86,17400,Source Verified,3,2
37600,Joint App,6351,86.4,MORTGAGE,23.4,29900,12032,80, 36 months,Credit card refinancing,46800,1096.48,52000,Not Verified,3,4
85000,Individual,16264,62,MORTGAGE,27.27,30000,9596,57.1, 60 months,Debt consolidation,42800,1289.89,50400,Source Verified,3,5
36000,Individual,4854,47.8,MORTGAGE,26.31,9000,2473,66.7, 36 months,Debt consolidation,9300,358.1,25200,Not Verified,3,1
80000,Individual,560,96.6,RENT,23.4,15000,9520,100, 36 months,Credit card refinancing,16400,530.57,19900,Not Verified,3,2
95000,Individual,12789,46.7,RENT,23.4,18600,3823,28.6, 36 months,Major purchase,24000,682.09,33700,Verified,3,4
52000,Individual,2907,83.2,RENT,24.37,16000,4878,80, 36 months,Debt consolidation,17300,589.49,25900,Source Verified,3,5
120000,Individual,15924,45.3,RENT,23.4,17400,7282,16.7, 36 months,Debt consolidation,29100,479.74,30800,Source Verified,3,5
33000,Individual,9151,53.8,RENT,26.31,15700,5285,33.3, 36 months,Debt consolidation,19800,624.7,22000,Source Verified,3,
20000,Individual,945,37,RENT,27.27,4000,555,0, 36 months,Home buying,1500,159.94,3000,Source Verified,3,
31000,Individual,7667,32.7,RENT,23.4,4000,3242,25, 36 months,Debt consolidation,11400,146.69,16400,Source Verified,3,1
81548,Individual,5263,45.2,RENT,26.31,12475,2683,50, 60 months,Credit card refinancing,9600,499.2,35800,Not Verified,3,2
50000,Individual,,,MORTGAGE,23.4,3025,0,, 36 months,Medical expenses,0,62.92,16700,Not Verified,3,3
42000,Individual,1349,89.1,RENT,23.4,13000,5951,100, 36 months,Debt consolidation,12400,253.5,12400,Source Verified,3,2
50000,Individual,3419,59.8,MORTGAGE,25.34,15000,1860,0, 60 months,Credit card refinancing,8500,599.15,19000,Verified,3,1
39000,Individual,539,78.4,RENT,23.4,3000,1841,50, 36 months,Debt consolidation,2500,110.01,3000,Not Verified,3,1
90000,Individual,1216,71.7,RENT,23.4,4800,1424,75, 36 months,Other,4300,136.21,6300,Not Verified,3,2
93000,Individual,416,85.1,RENT,23.4,4000,2384,100, 36 months,Other,2800,141.49,4600,Not Verified,3,4
78000,Individual,,,RENT,23.4,2500,0,, 36 months,Other,0,88.43,8000,Source Verified,3,1
115000,Individual,10365,78.9,MORTGAGE,23.4,25000,30463,33.3, 36 months,Debt consolidation,49200,916.55,51400,Not Verified,3,5
35000,Individual,249,97.6,RENT,25.34,8000,4166,100, 36 months,Credit card refinancing,10300,306.53,15700,Source Verified,3,4
40000,Individual,3000,0,RENT,27.27,1000,0,0, 36 months,Moving and relocation,3000,31.58,8400,Source Verified,3,3
44654.23,Individual,7911,27.4,RENT,25.34,30000,1580,0, 60 months,Debt consolidation,10900,1156.08,20600,Not Verified,3,5
55000,Individual,80098,22.2,MORTGAGE,24.37,25000,10400,11.1, 60 months,Debt consolidation,103000,575.4,104500,Not Verified,3,4
100000,Individual,3565,60.8,MORTGAGE,6,18200,2161,28.6, 36 months,Debt consolidation,9100,177.45,17600,Not Verified,3,5
25000,Individual,804,90.7,RENT,25.34,10000,2976,100, 36 months,Other,8600,383.17,19700,Verified,3,4
52000,Individual,140,95,OWN,23.4,13500,2660,100, 36 months,Debt consolidation,2800,477.51,13200,Source Verified,3,5
16410,Individual,,,RENT,27.27,11000,0,, 60 months,Debt consolidation,0,456.3,6000,Verified,3,
160000,Individual,9290,29.1,MORTGAGE,26.31,12000,1529,50, 60 months,Other,13100,480.19,19800,Not Verified,3,1
36000,Individual,7755,53,MORTGAGE,23.4,11400,7061,40, 36 months,Debt consolidation,16500,403.23,29000,Source Verified,3,1
39500,Joint App,0,100.1,MORTGAGE,27.27,12000,2002,100, 60 months,Debt consolidation,2000,497.85,2300,Source Verified,3,5
85000,Individual,3781,84.5,MORTGAGE,26.31,20000,8110,66.7, 60 months,Credit card refinancing,24400,800.32,41400,Source Verified,3,5
75000,Individual,6889,81.3,MORTGAGE,25.34,10000,7071,44.4, 60 months,Home improvement,36800,175.98,57200,Not Verified,3,5
30000,Individual,510,96,RENT,23.4,3000,7777,100, 36 months,Other,12800,106.11,12800,Source Verified,3,5
31000,Individual,2546,62,RENT,26.31,10000,1956,0, 60 months,Debt consolidation,6700,400.16,15200,Not Verified,3,5
56000,Joint App,145,98.3,MORTGAGE,25.34,10000,4560,100, 60 months,Debt consolidation,8500,385.36,39600,Not Verified,3,4
225000,Individual,10314,12.6,RENT,27.27,20000,1486,0, 60 months,Business,11800,829.63,11800,Source Verified,3,2
42000,Individual,6808,55.5,RENT,23.4,10125,5899,0, 36 months,Debt consolidation,15300,358.13,16900,Not Verified,3,2
22000,Individual,25129,13.9,RENT,23.4,10000,3675,0, 60 months,Other,29200,355.76,44400,Source Verified,3,2
68000,Individual,3639,27.2,OWN,24.37,5000,878,25, 36 months,Home buying,5000,184.22,6000,Source Verified,3,1
36000,Individual,11958,36.7,OWN,23.4,8500,4354,0, 36 months,Home improvement,18900,300.66,21500,Not Verified,3,5
45000,Individual,,,MORTGAGE,26.31,16500,0,, 36 months,Credit card refinancing,0,656.53,22400,Verified,3,2
45000,Individual,1058,73.6,RENT,23.4,3900,1823,50, 36 months,Debt consolidation,4000,137.94,5200,Not Verified,3,2
35000,Individual,7269,27.3,OWN,24.37,3000,1884,0, 36 months,Vacation,10000,114.6,10300,Source Verified,3,5
700000,Individual,24602,61.4,MORTGAGE,27.27,30000,16113,50, 60 months,Home improvement,63700,1244.45,86900,Source Verified,3,1
30000,Individual,,,RENT,27.27,1000,0,, 36 months,Other,0,41.25,2000,Not Verified,3,1
60000,Individual,9833,24.9,RENT,27.27,30000,2454,25, 60 months,Credit card refinancing,13100,949.02,15800,Not Verified,3,1
78000,Individual,2780,85.5,RENT,24.37,35000,8710,50, 60 months,Debt consolidation,19200,1296.95,22200,Not Verified,3,1
26000,Individual,6218,57.7,MORTGAGE,23.4,4000,6231,33.3, 36 months,Debt consolidation,14700,140.83,17300,Verified,3,2
105000,Individual,483,97.5,RENT,23.4,8000,9851,100, 36 months,Credit card refinancing,19600,282.97,38400,Source Verified,3,5
30000,Individual,714,55.4,OWN,23.4,1000,886,50, 36 months,Debt consolidation,1600,35.37,2100,Not Verified,3,2
30000,Individual,3455,62.4,RENT,23.4,8500,4287,25, 36 months,Other,9200,295.24,11700,Verified,3,1
56000,Individual,394,93.6,MORTGAGE,23.4,10000,2483,100, 36 months,Credit card refinancing,6200,162.5,27300,Source Verified,3,5
25000,Individual,5173,62.5,RENT,27.27,24000,3930,40, 60 months,Debt consolidation,13800,995.55,19800,Not Verified,3,1
70000,Individual,7358,23.4,RENT,25.34,10000,1908,33.3, 36 months,Debt consolidation,9600,383.17,31000,Not Verified,3,1
150000,Individual,6127,65.6,MORTGAGE,26.31,20925,6563,20, 60 months,Debt consolidation,17800,837.34,17800,Not Verified,3,5
54000,Individual,1162,57,OWN,25.34,20000,797,33.3, 60 months,Credit card refinancing,2700,770.71,2700,Source Verified,3,1
72000,Individual,3725,81,MORTGAGE,26.31,8525,9541,25, 36 months,Debt consolidation,14900,339.21,18270,Verified,3,5
70000,Individual,681,78.7,MORTGAGE,26.31,12000,2519,100, 60 months,Debt consolidation,3200,480.19,3200,Not Verified,3,1
45000,Individual,4273,70.7,RENT,23.4,5000,6110,75, 36 months,Debt consolidation,14600,176.86,17400,Source Verified,3,3
65000,Individual,6441,49.3,RENT,23.4,6400,4433,0, 36 months,Debt consolidation,12700,226.38,22500,Source Verified,3,1
59000,Individual,2459,38.5,RENT,25.34,13700,661,33.3, 36 months,Debt consolidation,4000,553.86,14300,Source Verified,3,3
98000,Individual,7295,81.9,MORTGAGE,27.27,30000,10798,71.4, 60 months,Debt consolidation,40200,1244.45,76200,Not Verified,3,5
62000,Individual,30335,12.1,OWN,26.31,9100,4155,0, 36 months,Other,34500,0,34500,Verified,3,2
150000,Individual,15207,22.8,OWN,26.31,30000,3826,14.3, 60 months,Debt consolidation,19700,1172.42,24100,Source Verified,3,3
30000,Individual,,,RENT,24.37,1400,0,, 36 months,Vacation,0,51.58,4200,Source Verified,3,3
60000,Individual,2025,78,RENT,27.27,20000,4456,66.7, 60 months,Debt consolidation,9200,829.63,12700,Not Verified,3,1
85000,Joint App,,,MORTGAGE,23.4,11000,0,, 36 months,Debt consolidation,0,390.33,5600,Verified,3,2
67000,Joint App,5321,87.9,RENT,24.37,10000,16287,66.7, 36 months,Other,44100,368.43,51100,Verified,3,1
16890,Individual,2616,41.9,RENT,23.4,2850,1884,0, 36 months,Debt consolidation,4500,46.31,4500,Verified,3,
41736,Individual,177,96.3,OWN,23.4,7950,2699,100, 36 months,Credit card refinancing,4800,281.2,25000,Source Verified,3,3
75000,Individual,4091,74.4,MORTGAGE,23.4,1000,6569,66.7, 36 months,Other,16000,35.37,47400,Source Verified,3,5
60000,Individual,11202,27.7,RENT,27.27,9200,3089,0, 36 months,Home improvement,15500,379.49,17500,Source Verified,3,1
40000,Individual,9668,6.1,OWN,25.34,3000,632,0, 36 months,Home improvement,10300,114.95,19900,Not Verified,3,2
55000,Individual,1123,85.4,RENT,23.4,7000,3505,66.7, 36 months,Debt consolidation,7700,252.15,9200,Not Verified,3,2
59995,Joint App,2302,89.3,MORTGAGE,26.31,25825,4892,83.3, 60 months,Debt consolidation,21600,1052.28,48100,Not Verified,3,5
71000,Individual,0,100.1,MORTGAGE,26.31,13800,1501,100, 60 months,Debt consolidation,1500,402.18,11300,Not Verified,3,4
50000,Individual,31630,22.9,MORTGAGE,25.34,30000,5818,0, 60 months,Debt consolidation,41000,1156.08,41000,Verified,3,5
170000,Individual,2717,77.7,RENT,24.37,5000,7996,33.3, 36 months,Credit card refinancing,12200,128.62,14800,Not Verified,3,5
150000,Individual,16526,31.1,MORTGAGE,25.34,3525,3999,0, 36 months,Debt consolidation,24000,0,27600,Not Verified,3,5
38000,Individual,1734,42.2,RENT,24.37,1600,1190,50, 36 months,Other,3000,58.97,5700,Not Verified,3,2
23000,Individual,327,34.6,RENT,23.4,1000,173,0, 36 months,Other,500,36.02,700,Source Verified,3,1
20000,Individual,890,83.2,RENT,25.34,1500,4092,50, 36 months,Vacation,5300,26.39,5300,Source Verified,3,1
175000,Joint App,339,97.4,RENT,27.27,12000,5732,100, 36 months,Debt consolidation,13000,504.06,24700,Not Verified,3,5
48300,Individual,368,98,MORTGAGE,25.34,12000,5927,100, 36 months,Debt consolidation,18200,468.24,18200,Verified,3,
44650,Individual,51,97.2,RENT,23.4,6400,1749,100, 36 months,Debt consolidation,1800,230.54,12300,Source Verified,3,2
40000,Individual,2940,51,RENT,25.34,19000,3060,0, 60 months,Credit card refinancing,6000,732.18,14200,Source Verified,3,4
75000,Individual,885,97.6,RENT,25.34,15000,11349,100, 36 months,Car financing,36200,585.31,36200,Source Verified,3,5
176400,Individual,3659,89.3,RENT,23.4,3000,10506,66.7, 36 months,Vacation,34200,108.06,34900,Not Verified,3,2
100000,Individual,8719,26.1,RENT,26.31,12000,2623,0, 60 months,Debt consolidation,11800,480.19,13800,Source Verified,3,1
65000,Individual,13680,51.3,OWN,24.37,8000,4971,14.3, 36 months,Debt consolidation,28100,300.17,37600,Verified,3,5
35000,Individual,1222,93.7,OWN,23.4,23200,6533,80, 36 months,Debt consolidation,19500,835.7,22500,Verified,3,
57000,Individual,0,100.7,MORTGAGE,27.27,19750,17077,100, 36 months,Debt consolidation,29500,463.78,29500,Verified,3,3
45000,Individual,322,86.6,MORTGAGE,25.34,1500,1283,100, 36 months,Major purchase,2400,58.53,5900,Not Verified,3,4
37000,Individual,492,95.8,RENT,23.4,15900,8864,66.7, 36 months,Debt consolidation,11700,572.74,16400,Not Verified,3,2
75000,Individual,26304,26.7,RENT,23.4,9600,4839,14.3, 36 months,Debt consolidation,35900,345.8,40200,Not Verified,3,3
120000,Individual,0,101.3,ANY,27.27,20200,15202,100, 36 months,Debt consolidation,15000,848.5,15000,Source Verified,3,1
52500,Individual,9812,26.2,RENT,27.27,25000,2984,25, 60 months,Debt consolidation,13300,1055.97,16600,Source Verified,3,3
37211,Individual,6239,43.8,RENT,27.27,18000,3726,0, 60 months,Debt consolidation,11100,760.3,13000,Source Verified,3,5
37525,Individual,8774,62,OWN,24.37,10000,5398,50, 36 months,Debt consolidation,23100,375.2,26900,Source Verified,3,5
73000,Individual,3552,79.5,MORTGAGE,23.4,1000,6374,66.7, 36 months,Medical expenses,17300,36.02,17300,Not Verified,3,5
70000,Individual,9183,56.3,MORTGAGE,23.4,14950,7407,20, 36 months,Credit card refinancing,21000,469.35,32000,Source Verified,3,2
100000,Individual,3229,61.1,RENT,23.4,8000,1870,50, 36 months,Debt consolidation,8300,230.97,12700,Not Verified,3,2
3500,Joint App,327,96.9,RENT,24.37,2000,6769,100, 36 months,Vacation,10500,75.04,11700,Verified,3,4
56000,Individual,2514,78,RENT,24.37,19500,3986,71.4, 36 months,Credit card refinancing,17600,718.45,29530,Verified,3,5
90000,Individual,3257,81.3,OWN,24.37,11600,14143,100, 36 months,Other,17400,243.43,42300,Source Verified,3,4
40000,Individual,62,89.7,RENT,23.4,3500,538,100, 36 months,Other,600,126.07,8900,Not Verified,3,1
90000,Individual,3163,48.1,RENT,27.27,20000,1820,0, 60 months,Debt consolidation,6100,829.63,10400,Source Verified,3,1
60000,Individual,1466,26.7,RENT,26.31,5000,285,0, 36 months,Other,2000,202.6,2000,Source Verified,3,5
91000,Individual,22976,69.4,RENT,27.27,13200,10417,57.1, 60 months,Debt consolidation,75000,557.55,85400,Not Verified,3,5
73000,Individual,7015,27.7,RENT,26.31,10000,2685,50, 60 months,Debt consolidation,9700,407.47,9700,Not Verified,3,5
